time,A1,A2,A3,A4,A5,A6,A7
09/12/2023 09:00,0,0,6.20E-05,0.000253452,0,0,0
09/12/2023 10:00,0,0.001352286,0.003763369,0.040946726,0,0,0.023531577
09/12/2023 11:00,0,0.090281293,0.004291691,0.112237037,0,0,0.077389086
09/12/2023 12:00,0,0.241890538,0.001209383,0.105916625,0,0,0.065277945
09/12/2023 13:00,0,0.279091174,1.52E-06,0.037290449,0,0,0.010025533
09/12/2023 14:00,0,0.046612688,0,0.000233709,0,0,0
09/12/2023 15:00,0,0,2.25E-05,0,0,0,0
09/12/2023 16:00,0,0.026746305,0.00302811,0.032300662,0,0,0.055693133
09/12/2023 17:00,0,0.23243316,0.005610079,0.238465747,0,0,0.2086754
09/12/2023 18:00,0,0.332151139,0.002731089,0.301525331,0,0,0.161892636
09/12/2023 19:00,0,0.143902444,0.000164706,0.117606608,0,0,0.023019867
09/12/2023 20:00,0,0.015585474,0,0.004022165,0,0,0
09/12/2023 21:00,0,0,3.22E-06,0,0,0,0.000440051
09/12/2023 22:00,0,0.003420849,0.005586877,0.039513782,0,0,0.121234385
09/12/2023 23:00,0,0.190223277,0.007951431,0.148059473,0,0,0.365039908
10/12/2023 00:00,0,0.596779237,0.004052006,0.160751183,0,0,0.363617087
10/12/2023 01:00,0,0.692065193,0.000535968,0.079749659,0,0,0.150854869
10/12/2023 02:00,0,0.229652985,0,0.005475596,0,0,0.008891048
10/12/2023 03:00,0,0.000969155,0,0,0,0,0
10/12/2023 04:00,0,0.008652238,0.004309078,0.028926865,0,0,0.005917804
10/12/2023 05:00,0,0.32433844,0.0111764,0.36170137,0,0,0.167517511
10/12/2023 06:00,0,0.65176411,0.011072249,0.618005098,0,0,0.293255758
10/12/2023 07:00,0,0.442563814,0.006008932,0.397887444,0,0,0.13713456
10/12/2023 08:00,0,0.150751947,0.000121668,0.087991114,0,0,0.005914468
10/12/2023 09:00,0,0.005175178,0,7.54E-05,0,0,0
10/12/2023 10:00,0,0,0.000939814,0.003066149,0,0,0.002570994
10/12/2023 11:00,0,0.027249559,0.009109302,0.102779293,0,0,0.074341969
10/12/2023 12:00,0,0.299579508,0.007208954,0.202692372,0,0,0.128566238
10/12/2023 13:00,0,0.694310108,0.001988654,0.146870145,0,0,0.064604195
10/12/2023 14:00,0,0.423135146,1.14E-06,0.036571241,0,0,0.003146397
